Date,seep_ppb,stream
3-May-99,187,WS53
19-May-99,306,WS53
4-Jun-99,230,WS53
15-Jun-99,250,WS53
30-Jun-99,173,WS53
14-Jul-99,214,WS53
28-Jul-99,259,WS53
8-Aug-99,179,WS53
26-Aug-99,457,WS53
8-Sep-99,362,WS53
22-Sep-99,247,WS53
6-Oct-99,696,WS53
21-Oct-99,241,WS53
3-Nov-99,205,WS53
17-Nov-99,249,WS53
1-Dec-99,172,WS53
15-Dec-99,285,WS53
20-Dec-99,156,WS53
5-Jan-00,120,WS53
19-Jan-00,160,WS53
9-Feb-00,507,WS53
16-Feb-00,234,WS53
1-Mar-00,238,WS53
14-Mar-00,238,WS53
28-Mar-00,236,WS53
11-Apr-00,253,WS53
26-Apr-00,214,WS53
9-May-00,314,WS53
22-May-00,347,WS53
8-Jun-00,286,WS53
20-Jun-00,296,WS53
6-Jul-00,246,WS53
19-Jul-00,287,WS53
3-Aug-00,258,WS53
17-Aug-00,310,WS53
29-Aug-00,11,WS53
12-Sep-00,271,WS53
26-Sep-00,29,WS53
11-Oct-00,58,WS53
24-Oct-00,40,WS53
11-Nov-00,69,WS53
21-Nov-00,54,WS53
6-Dec-00,39,WS53
21-Dec-00,,WS53
3-Jan-01,,WS53
17-Jan-01,52,WS53
31-Jan-01,58,WS53
19-Feb-01,24,WS53
27-Feb-01,197,WS53
13-Mar-01,289,WS53
28-Mar-01,16,WS53
10-Apr-01,24,WS53
25-Apr-01,13,WS53
10-May-01,19,WS53
23-May-01,25,WS53
6-Jun-01,96,WS53
19-Jun-01,33,WS53
4-Jul-01,47,WS53
18-Jul-01,68,WS53
6-Aug-01,,WS53
15-Aug-01,202,WS53
29-Aug-01,17,WS53
14-Sep-01,94,WS53
26-Sep-01,,WS53
9-Oct-01,,WS53
26-Oct-01,119,WS53
7-Nov-01,,WS53
20-Nov-01,382,WS53
5-Dec-01,373,WS53
19-Dec-01,827,WS53
4-Jan-02,14,WS53
28-Jan-02,55,WS53
7-Feb-02,75,WS53
21-Feb-02,1,WS53
6-Mar-02,38,WS53
20-Mar-02,6,WS53
4-Apr-02,61,WS53
23-Apr-02,68,WS53
9-May-02,52,WS53
22-May-02,37,WS53
7-Jun-02,,WS53
19-Jun-02,11,WS53
2-Jul-02,100,WS53
24-Jul-02,38,WS53
7-Aug-02,62,WS53
21-Aug-02,69,WS53
4-Sep-02,29,WS53
18-Sep-02,105,WS53
9-Oct-02,199,WS53
23-Oct-02,17,WS53
6-Nov-02,11,WS53
20-Nov-02,17,WS53
3-Dec-02,14,WS53
20-Dec-02,92,WS53
8-Jan-03,ACL error,WS53
21-Jan-03,ACL error,WS53
6-Feb-03,ACL error,WS53
18-Feb-03,ACL error,WS53
7-Mar-03,96,WS53
26-Mar-03,64,WS53
9-Apr-03,51,WS53
23-Apr-03,58,WS53
8-May-03,59,WS53
21-May-03,28,WS53
4-Jun-03,34,WS53
19-Jun-03,72,WS53
2-Jul-03,193,WS53
16-Jul-03,41,WS53
30-Jul-03,146,WS53
15-Aug-03,20,WS53
27-Aug-03,36,WS53
10-Sep-03,57,WS53
26-Sep-03,48,WS53
8-Oct-03,87,WS53
22-Oct-03,46,WS53
7-Nov-03,47,WS53
26-Nov-03,45,WS53
3-Dec-03,45,WS53
17-Dec-03,13,WS53
2-Jan-04,50,WS53
15-Jan-04,28,WS53
29-Jan-04,41,WS53
11-Feb-04,40,WS53
27-Feb-04,ACL error,WS53
12-Mar-04,32,WS53
24-Mar-04,14,WS53
4-Apr-04,34,WS53
22-Apr-04,49,WS53
5-May-04,24,WS53
19-May-04,24,WS53
1-Jun-04,41,WS53
17-Jun-04,107,WS53
30-Jun-04,117,WS53
15-Jul-04,49,WS53
28-Jul-04,60,WS53
10-Aug-04,89,WS53
25-Aug-04,76,WS53
13-Sep-04,72,WS53
22-Sep-04,58,WS53
6-Oct-04,34,WS53
21-Oct-04,11,WS53
5-Nov-04,16,WS53
16-Nov-04,28,WS53
2-Dec-04,13,WS53
14-Dec-04,26,WS53
30-Dec-04,25,WS53
12-Jan-05,19,WS53
26-Jan-05,26,WS53
11-Feb-05,30,WS53
23-Feb-05,26,WS53
7-Mar-05,34,WS53
23-Mar-05,34,WS53
5-Apr-05,44,WS53
20-Apr-05,66,WS53
3-May-05,85,WS53
19-May-05,78,WS53
2-Jun-05,90,WS53
15-Jun-05,76,WS53
28-Jun-05,71,WS53
15-Jul-05,75,WS53
26-Jul-05,47,WS53
10-Aug-05,68,WS53
22-Aug-05,45,WS53
7-Sep-05,38,WS53
20-Sep-05,31,WS53
3-Oct-05,44,WS53
18-Oct-05,41,WS53
3-Nov-05,48,WS53
17-Nov-05,42,WS53
1-Dec-05,45,WS53
13-Dec-05,53,WS53
31-Dec-05,56,WS53
12-Jan-06,39,WS53
25-Jan-06,33,WS53
7-Feb-06,32,WS53
23-Feb-06,32,WS53
7-Mar-06,17,WS53
22-Mar-06,17,WS53
5-Apr-06,25,WS53
3-May-99,318,WS54
19-May-99,428,WS54
4-Jun-99,365,WS54
15-Jun-99,482,WS54
30-Jun-99,602,WS54
14-Jul-99,342,WS54
28-Jul-99,831,WS54
8-Aug-99,203,WS54
26-Aug-99,269,WS54
8-Sep-99,335,WS54
22-Sep-99,181,WS54
6-Oct-99,336,WS54
21-Oct-99,123,WS54
3-Nov-99,116,WS54
17-Nov-99,123,WS54
1-Dec-99,123,WS54
15-Dec-99,123,WS54
20-Dec-99,123,WS54
5-Jan-00,54,WS54
19-Jan-00,123,WS54
9-Feb-00,264,WS54
16-Feb-00,19,WS54
1-Mar-00,34,WS54
14-Mar-00,47,WS54
28-Mar-00,57,WS54
11-Apr-00,123,WS54
26-Apr-00,137,WS54
9-May-00,135,WS54
22-May-00,123,WS54
8-Jun-00,123,WS54
20-Jun-00,66,WS54
6-Jul-00,113,WS54
19-Jul-00,123,WS54
3-Aug-00,88,WS54
17-Aug-00,59,WS54
29-Aug-00,243,WS54
12-Sep-00,115,WS54
26-Sep-00,116,WS54
11-Oct-00,119,WS54
24-Oct-00,85,WS54
11-Nov-00,190,WS54
21-Nov-00,123,WS54
6-Dec-00,85,WS54
21-Dec-00,123,WS54
3-Jan-01,123,WS54
17-Jan-01,123,WS54
31-Jan-01,339,WS54
19-Feb-01,61,WS54
27-Feb-01,89,WS54
13-Mar-01,64,WS54
28-Mar-01,36,WS54
10-Apr-01,208,WS54
25-Apr-01,40,WS54
10-May-01,65,WS54
23-May-01,74,WS54
6-Jun-01,0,WS54
19-Jun-01,103,WS54
4-Jul-01,60,WS54
18-Jul-01,33,WS54
6-Aug-01,30,WS54
15-Aug-01,133,WS54
29-Aug-01,21,WS54
14-Sep-01,0,WS54
26-Sep-01,28,WS54
9-Oct-01,18,WS54
26-Oct-01,0,WS54
7-Nov-01,0,WS54
20-Nov-01,4,WS54
5-Dec-01,7,WS54
19-Dec-01,11,WS54
4-Jan-02,4,WS54
28-Jan-02,0,WS54
7-Feb-02,59,WS54
21-Feb-02,0,WS54
6-Mar-02,8,WS54
20-Mar-02,14,WS54
4-Apr-02,7,WS54
23-Apr-02,57,WS54
9-May-02,8,WS54
22-May-02,5,WS54
7-Jun-02,39,WS54
19-Jun-02,14,WS54
2-Jul-02,42,WS54
24-Jul-02,78,WS54
7-Aug-02,78,WS54
21-Aug-02,12,WS54
4-Sep-02,34,WS54
18-Sep-02,59,WS54
9-Oct-02,14,WS54
23-Oct-02,9,WS54
6-Nov-02,57,WS54
20-Nov-02,5,WS54
3-Dec-02,12,WS54
20-Dec-02,48,WS54
8-Jan-03,123,WS54
21-Jan-03,123,WS54
6-Feb-03,177,WS54
18-Feb-03,296,WS54
7-Mar-03,76,WS54
26-Mar-03,82,WS54
9-Apr-03,81,WS54
23-Apr-03,52,WS54
8-May-03,82,WS54
21-May-03,102,WS54
4-Jun-03,71,WS54
19-Jun-03,85,WS54
2-Jul-03,273,WS54
16-Jul-03,113,WS54
30-Jul-03,166,WS54
15-Aug-03,44,WS54
27-Aug-03,57,WS54
10-Sep-03,68,WS54
26-Sep-03,126,WS54
8-Oct-03,93,WS54
22-Oct-03,22,WS54
7-Nov-03,73,WS54
26-Nov-03,41,WS54
3-Dec-03,33,WS54
17-Dec-03,24,WS54
2-Jan-04,19,WS54
15-Jan-04,13,WS54
29-Jan-04,85,WS54
11-Feb-04,104,WS54
27-Feb-04,43,WS54
12-Mar-04,56,WS54
24-Mar-04,59,WS54
4-Apr-04,46,WS54
22-Apr-04,67,WS54
5-May-04,107,WS54
19-May-04,112,WS54
1-Jun-04,116,WS54
17-Jun-04,152,WS54
30-Jun-04,227,WS54
15-Jul-04,86,WS54
28-Jul-04,123,WS54
10-Aug-04,136,WS54
25-Aug-04,90,WS54
13-Sep-04,137,WS54
22-Sep-04,66,WS54
6-Oct-04,39,WS54
21-Oct-04,42,WS54
5-Nov-04,96,WS54
16-Nov-04,104,WS54
2-Dec-04,70,WS54
14-Dec-04,127,WS54
30-Dec-04,77,WS54
12-Jan-05,76,WS54
26-Jan-05,54,WS54
11-Feb-05,65,WS54
23-Feb-05,139,WS54
7-Mar-05,66,WS54
23-Mar-05,73,WS54
5-Apr-05,113,WS54
20-Apr-05,121,WS54
3-May-05,123,WS54
19-May-05,117,WS54
2-Jun-05,123,WS54
15-Jun-05,123,WS54
28-Jun-05,158,WS54
15-Jul-05,70,WS54
26-Jul-05,98,WS54
10-Aug-05,98,WS54
22-Aug-05,50,WS54
7-Sep-05,52,WS54
20-Sep-05,40,WS54
3-Oct-05,45,WS54
18-Oct-05,45,WS54
3-Nov-05,,WS54
17-Nov-05,,WS54
1-Dec-05,,WS54
13-Dec-05,47,WS54
31-Dec-05,39,WS54
12-Jan-06,44,WS54
25-Jan-06,68,WS54
7-Feb-06,55,WS54
23-Feb-06,73,WS54
7-Mar-06,49,WS54
22-Mar-06,39,WS54
5-Apr-06,,WS54
